Barrio2	2010	2011	2012	2013	2014	2015	2016	Grand Total
12 DE OCTUBRE	3	7	3	9	4	4	1	31
7 DE AGOSTO	13	9	18	26	18	24	18	126
A.S.D.				2				2
ABRAHAM LINCON	1		5	6	10	17	13	52
ACACIAS					1	1		2
ACACIAS III PARTE BAJA					2	2		4
ACACIAS IV							1	1
ACACIAS NORTE	1		1	1	3	3	2	11
ACACIAS SUR	3	4	1	1	1	1		11
ACAPULCO			5	2	2	1	3	13
ACATAMA	1		1		1		2	5
ACEVEDO TEJADA	2	4	5	7	7	6	14	45
ACIP	1	1	1		1		1	5
AEROPUERTO EL DORADO	4	8	7	12	9	8	12	60
AEROPUERTO MUELLE INTERNACIONAL	1			1				2
AEROPUERTO PUENTE AEREO	1	1	2	5				9
AFIDRO					1		1	2
AGROPOLIS					1			1
AGUALINDA					2			2
AGUAS CALIENTES			2					2
AGUAS CLARAS	1	3	2		1		2	9
AINSUCA	1		3			1		5
ALAMEDA	16	18	32	49	45	18	28	206
ALAMEDA DE TIMIZA					5	4	1	10
ALAMEDA DEL SUR					1	2	1	4
ALAMEDAS DE MODELIA	1	1	1	3	13	3	1	23
ÁLAMOS I				1				1
ÁLAMOS NORTE	11	7	5	7			1	31
ALAMOS SUR	1	3		1	21	17	22	65
ALASKA	1		2		1			4
ALBANIA				1				1
ALCALA		1	4	2	5	5	3	20
ALCALÁ		3	3	3	11	8	5	33
ALCAPARROS I-II	1	1	1	1	2	2	1	9
ALCAZAR DE SUBA					1	2		3
ALCAZAR DEL RÍO						1		1
ALCAZARES	7	9	13	12	22	15	16	94
ALCAZARES DE SUBA			1		1			2
ALCAZARES NORTE	3	1		2	5	4	4	19
ALFEREZ REAL							2	2
ALFONSO LOPEZ	8	2	8	18	13	16	19	84
ALFONSO LÓPEZ SECTOR CHARALA		1	1			2	1	5
ALFONSO LÓPEZ SECTOR LA ALBORADA						1		1
ALHAMBRA SECTOR NORTE	5	7	7	21	12	11	12	75
ALMACEN CAFAM LA FLORESTA	1		1		1	4		7
ALMENA				1			1	2
ALMENDROS	2	6	8	7	4	3	3	33
ALMENDROS TINTALITO BOSA					4			4
ALMIRANTE COLON					1		2	3
ALMIRANTE PADILLA			2	3	4	2	2	13
ALMONACID			1				1	2
ALMORIA		1	2					3
ALOHA NORTE			1	1		2	2	6
ALOHA SUR				1		1		2
ALPES DEL ZUQUE						1		1
ALPES LOS				1	1			2
ALQUERÍA DE LA FRAGUA DEL ISS				1	4	1	5	11
ALQUERÍA LA FRAGUA				1	11	11	9	32
ALQUERÍAS DE LA FRAGUA	5	8	6	8				27
ALQUERÍAS DE LA FRAGUA VILLANUEVA					1			1
ALSACIA					4	6	2	12
ALTA BLANCA	2	6	1	3	4	1	1	18
ALTAMAR			1	2	4	4	1	12
