Barrio2	2016	Grand Total
ZONA INDUSTRIAL MONTEVIDEO	1	1
ZONA INDUSTRIAL LAS GRANJAS	4	4
ZONA INDUSTRIAL LA GRANJA	5	5
ZONA INDUSTRIAL EL DORADO	1	1
ZARZAMORA	3	3
YOMASITA	1	1
VOTO NACIONAL	17	17
VITELMA	2	2
VISTA HERMOSA SECTOR EL CAPRI	1	1
VISTA HERMOSA	6	6
VISTA BELLA	1	1
VISION DE COLOMBIA	2	2
VILLEMAR CENTRAL	2	2
VILLEMAR	11	11
VILLAS DEL RINCÓN	1	1
VILLAS DEL MADRIGAL	1	1
VILLAS DEL DORADO	4	4
VILLAS DE GRANADA	26	26
VILLAS DE BOLÍVAR	2	2
VILLAS DE ARANJUEZ	2	2
VILLA ZARZAMORA	1	1
VILLA XIMENA	2	2
VILLA TERESITA	1	1
VILLA SUAITA	3	3
VILLA SONIA II SECTOR	1	1
VILLA ROSITA	2	2
VILLA NUEVA	1	1
VILLA NELLY	10	10
VILLA MAYOR LA NUEVA	1	1
VILLA MAYOR	25	25
VILLA MARIA I	8	8
VILLA MAGDALA	3	3
VILLA LUZ	8	8
VILLA LATORRE	1	1
VILLA JAVIER	2	2
VILLA JACQUI	1	1
VILLA HERMOSA	3	3
VILLA GLORIA I	1	1
VILLA GLORIA	4	4
VILLA GLADYS	1	1
VILLA GLADIS	5	5
VILLA EMMA	3	3
VILLA ELISA	8	8
VILLA DIANA	1	1
VILLA DEL ROSARIO	2	2
VILLA DEL RIO	16	16
VILLA DEL RINCON	9	9
VILLA DEL PRADO NVA	1	1
VILLA DEL PRADO	20	20
VILLA DEL MAR	1	1
VILLA DE LOS COMUNEROS	1	1
VILLA DE LOS ALPES	11	11
VILLA DE LA TORRE	2	2
VILLA DE LA LOMA	7	7
VILLA CRISTINA	1	1
VILLA CLAUDIA	8	8
VILLA CINDY	2	2
VILLA CARMENZA	1	1
VILLA ANNY	1	1
VILLA ANITA SUR	1	1
VILLA ANITA	1	1
VILLA ANDREA	1	1
VILLA ANDINA	1	1
VILLA AMALIA	2	2
VILLA ALSACIA SECTOR A	1	1
VILLA ALSACIA	9	9
VILLA ALEXANDRA	1	1
VILLA ALEMANIA	2	2
VILLA ALBANIA	2	2
VILLA ADRIANA	1	1
VICTORIA	1	1
VERSALLES	8	8
VERONA	1	1
VERGEL	1	1
VEREDA TORCA	1	1
VEREDA SAN JOSE	2	2
VEREDA MONSERRATE	2	2
VEREDA EL OLARTE	1	1
VERBENAL I	1	1
VERBENAL	26	26
VERAGUAS CENTRAL IV SECTOR	3	3
VERAGUAS	9	9
VERACRUZ	26	26
VENEZUELA	1	1
VENECIA	38	38
VELODROMO	3	3
VEINTE DE JULIO	96	96
VEGAS DE SANTANA	1	1
VALLES DE CAFAN	5	5
VALLADOLID	2	2
VALBANERA	6	6
USMINIA DESARROLLO	3	3
USATAMA	4	4
URB. ZONA INDUSTRIAL	1	1
URB. ZARAZOTA 1	1	1
URB. VISION DE COLOMBIA	1	1
URB. VIRREY SOLÍS	1	1
URB. VILLAS DEL MEDITERRÁNEO	2	2
URB. VILLAS DE ANDALUCÍA	1	1
URB. VILLA SONIA	1	1
URB. VILLA INÉS	1	1
URB. VILLA ELISA	2	2
URB. VILLA DEL RÍO	3	3
URB. VERAGUAS	2	2
URB. URBANA QUIROGA	6	6
URB. UNIR I	1	1
URB. TOBERIN	6	6
URB. TIMIZA	14	14
URB. TIERRA LINDA	8	8
URB. TIBANA	1	1
URB. SOCIEGO NORTE	1	1
URB. SANTANDER	12	12
URB. SANTA RITA II SECTOR	1	1
URB. SANTA RITA I SECTOR	7	7
URB. SANTA PAULA	1	1
URB. SANTA MARGARITA	3	3
URB. SANTA FEREÑA	3	3
URB. SANTA ANA	2	2
URB. SAN RAFAEL OBRERO	1	1
URB. SAN PATRICIO	8	8
URB. SAN MIGUEL	1	1
URB. SAN FRANCISCO	36	36
URB. SAN EUSEBIO	1	1
URB. SAN CIPRIANO	4	4
URB. SAN CARLOS	6	6
URB. ROMERO CONTI	2	2
URB. RIONEGRO	7	7
URB. RINCONCITO	13	13
URB. PUENTE ARANDA	10	10
URB. PORTAL DEL MOCHUELO	1	1
URB. PONTEVEDRA I SECTOR	12	12
URB. PINOS DE LOMBARDIA	2	2
URB. PATIO BONITO II SECTOR	1	1
URB. PASTRANA	1	1
URB. PASADENA	6	6
URB. PALENQUE	17	17
URB. OASIS DE SAN JORGE	1	1
URB. NUEVA ZELANDIA	5	5
URB. NUEVA MARSELLA I SECTOR	5	5
URB. NUEVA AUTOPISTA	5	5
URB. NARIÑO	1	1
URB. MONTES II SECTOR	1	1
URB. MONTES I SECTOR	4	4
URB. MIRANDELA	13	13
URB. MAZUREN I SECTOR	25	25
URB. MARSELLA	31	31
URB. MARRUECOS	7	7
URB. MARANTA I - II - III SECTOR	1	1
URB. MADELENA I Y II SECTOR	15	15
URB. LOS MOLINOS	4	4
URB. LOS HEROES	1	1
URB. LOS EJIDOS	4	4
URB. LOS COMUNEROS	2	2
URB. LOS CEDRITOS	1	1
