Edad	FEMENINO_2016	MASCULINO_2016	FEMENINO_2015	MASCULINO_2015	FEMENINO_2014	MASCULINO_2014	FEMENINO_2013	MASCULINO_2013	FEMENINO_2012	MASCULINO_2012	FEMENINO_2011	MASCULINO_2011	FEMENINO_2010	MASCULINO_2010
0 - 4			1			2								
10 - 14	22	48	33	33	18	35	17	40	13	20	5	12	11	6
15 - 19	372	513	434	606	324	480	300	454	193	259	79	81	74	90
20 - 24	903	938	817	965	861	998	657	938	334	518	187	310	248	318
25 - 29	739	828	706	818	698	812	661	832	505	731	263	431	230	440
30 - 34	562	607	529	587	555	704	493	679	282	492	210	339	237	386
35 - 39	453	464	431	423	436	479	300	477	234	333	161	250	128	272
40 - 44	281	330	253	298	257	312	240	288	143	170	121	209	124	220
45 - 49	249	283	210	193	202	207	176	232	112	177	79	156	79	170
5 - 9					1			1	1				2	
50 - 54	183	194	133	160	142	196	131	176	84	100	74	107	59	120
55 - 59	106	131	101	124	80	120	101	117	47	91	38	67	30	73
60 - 64	55	87	49	62	43	59	45	58	29	30	22	42	20	57
65 - 69	27	52	25	41	18	38	18	43	6	16	14	24	9	30
70 - 74	13	21	15	22	7	17	9	25	6	13	9	20	4	11
75 - 79	6	8	7	10	2	9	1	12	2	5	2	10	1	3
80 - 84	2	4	1	2	2	1	3	3		2		8	1	
85 - 89		1	1	1		1		1						
90 - 94			1											
95 - 99											1			
No reporta	1	1	1	7	5	8		1	12	14		2	5	15
